
> src\renderer\data\quests.json:24291:    "id": 760,
  src\renderer\data\quests.json:24525:      "en": "Choose camera distance to convey scale or emotion. Medium: digital tools."
  src\renderer\data\quests.json:24526:    },
  src\renderer\data\quests.json:24527:    "xp": 45,
> src\renderer\data\quests.json:24547:    "id": 768,
  src\renderer\data\quests.json:24548:    "code": "STY-00768",
  src\renderer\data\quests.json:24549:    "title": {
  src\renderer\data\quests.json:24550:      "ru": "Leading lines: {} to focus",
  src\renderer\data\quests.json:24551:      "en": "Leading lines: {} to focus"
  src\renderer\data\quests.json:24552:    },
  src\renderer\data\quests.json:24553:    "category": "storytelling",
  src\renderer\data\quests.json:24554:    "difficulty": "novice",
  src\renderer\data\quests.json:24555:    "description": {
  src\renderer\data\quests.json:24556:      "ru": "Направь взгляд зрителя через архитектуру, свет или позы.",
  src\renderer\data\quests.json:24557:      "en": "Direct viewer's eye via architecture, light, or poses."
  src\renderer\data\quests.json:24558:    },
  src\renderer\data\quests.json:24559:    "xp": 49,
> src\renderer\data\quests.json:24579:    "id": 769,
  src\renderer\data\quests.json:24580:    "code": "STY-00769",
  src\renderer\data\quests.json:24581:    "title": {
  src\renderer\data\quests.json:24582:      "ru": "Silhouette: {} (readability)",
  src\renderer\data\quests.json:24583:      "en": "Silhouette: {} (readability)"
  src\renderer\data\quests.json:24584:    },
  src\renderer\data\quests.json:24585:    "category": "storytelling",
  src\renderer\data\quests.json:24586:    "difficulty": "novice",
  src\renderer\data\quests.json:24587:    "description": {
  src\renderer\data\quests.json:24588:      "ru": "Узнаётся ли объект/поза в чёрном контуре? Среда: традиционные материалы.",
  src\renderer\data\quests.json:24589:      "en": "Can you recognize subject/pose in black silhouette? Medium: traditional materials."
  src\renderer\data\quests.json:24590:    },
  src\renderer\data\quests.json:24591:    "xp": 41,
> src\renderer\data\quests.json:24611:    "id": 770,
  src\renderer\data\quests.json:24612:    "code": "STY-00770",
  src\renderer\data\quests.json:24613:    "title": {
  src\renderer\data\quests.json:24614:      "ru": "Simple layout: {} (2-3 panels)",
  src\renderer\data\quests.json:24615:      "en": "Simple layout: {} (2-3 panels)"
  src\renderer\data\quests.json:24616:    },
  src\renderer\data\quests.json:24617:    "category": "storytelling",
  src\renderer\data\quests.json:24618:    "difficulty": "novice",
  src\renderer\data\quests.json:24619:    "description": {
  src\renderer\data\quests.json:24620:      "ru": "Базовая последовательность: установка, действие, реакция.",
  src\renderer\data\quests.json:24621:      "en": "Basic sequence: setup, action, reaction."
  src\renderer\data\quests.json:24622:    },
  src\renderer\data\quests.json:24623:    "xp": 41,
> src\renderer\data\quests.json:24643:    "id": 771,
  src\renderer\data\quests.json:24644:    "code": "STY-00771",
  src\renderer\data\quests.json:24645:    "title": {
  src\renderer\data\quests.json:24646:      "ru": "Value grouping: {} (light/mid/dark)",
  src\renderer\data\quests.json:24647:      "en": "Value grouping: {} (light/mid/dark)"
  src\renderer\data\quests.json:24648:    },
  src\renderer\data\quests.json:24649:    "category": "storytelling",
  src\renderer\data\quests.json:24650:    "difficulty": "novice",
  src\renderer\data\quests.json:24651:    "description": {
  src\renderer\data\quests.json:24652:      "ru": "Упрости сцену до 3-4 тональных масс для ясности.",
  src\renderer\data\quests.json:24653:      "en": "Simplify scene to 3-4 value masses for clarity."
  src\renderer\data\quests.json:24654:    },
  src\renderer\data\quests.json:24655:    "xp": 60,
> src\renderer\data\quests.json:24675:    "id": 772,
  src\renderer\data\quests.json:24676:    "code": "STY-00772",
  src\renderer\data\quests.json:24677:    "title": {
  src\renderer\data\quests.json:24678:      "ru": "Framing: {} (rule of thirds)",
  src\renderer\data\quests.json:24679:      "en": "Framing: {} (rule of thirds)"
  src\renderer\data\quests.json:24680:    },
  src\renderer\data\quests.json:24681:    "category": "storytelling",
  src\renderer\data\quests.json:24682:    "difficulty": "novice",
  src\renderer\data\quests.json:24683:    "description": {
  src\renderer\data\quests.json:24684:      "ru": "Размести объект в сильных точках пересечения линий.",
  src\renderer\data\quests.json:24685:      "en": "Place subject at strong line intersection points."
  src\renderer\data\quests.json:24686:    },
  src\renderer\data\quests.json:24687:    "xp": 59,
> src\renderer\data\quests.json:24707:    "id": 773,
  src\renderer\data\quests.json:24708:    "code": "STY-00773",
  src\renderer\data\quests.json:24709:    "title": {
  src\renderer\data\quests.json:24710:      "ru": "Shot type: {} (wide/medium/close)",
  src\renderer\data\quests.json:24711:      "en": "Shot type: {} (wide/medium/close)"
  src\renderer\data\quests.json:24712:    },
  src\renderer\data\quests.json:24713:    "category": "storytelling",
  src\renderer\data\quests.json:24714:    "difficulty": "novice",
  src\renderer\data\quests.json:24715:    "description": {
  src\renderer\data\quests.json:24716:      "ru": "Выбери дистанцию камеры для передачи масштаба или эмоции. Среда: цифровые инструменты.",
  src\renderer\data\quests.json:24717:      "en": "Choose camera distance to convey scale or emotion. Medium: digital tools."
  src\renderer\data\quests.json:24718:    },
  src\renderer\data\quests.json:24719:    "xp": 45,
> src\renderer\data\quests.json:24739:    "id": 774,
  src\renderer\data\quests.json:24740:    "code": "STY-00774",
  src\renderer\data\quests.json:24741:    "title": {
  src\renderer\data\quests.json:24742:      "ru": "Leading lines: {} to focus",
  src\renderer\data\quests.json:24743:      "en": "Leading lines: {} to focus"
  src\renderer\data\quests.json:24744:    },
  src\renderer\data\quests.json:24745:    "category": "storytelling",
  src\renderer\data\quests.json:24746:    "difficulty": "novice",
  src\renderer\data\quests.json:24747:    "description": {
  src\renderer\data\quests.json:24748:      "ru": "Направь взгляд зрителя через архитектуру, свет или позы.",
  src\renderer\data\quests.json:24749:      "en": "Direct viewer's eye via architecture, light, or poses."
  src\renderer\data\quests.json:24750:    },
  src\renderer\data\quests.json:24751:    "xp": 49,
> src\renderer\data\quests.json:24771:    "id": 775,
  src\renderer\data\quests.json:24772:    "code": "STY-00775",
  src\renderer\data\quests.json:24773:    "title": {
  src\renderer\data\quests.json:24774:      "ru": "Silhouette: {} (readability)",
  src\renderer\data\quests.json:24775:      "en": "Silhouette: {} (readability)"
  src\renderer\data\quests.json:24776:    },
  src\renderer\data\quests.json:24777:    "category": "storytelling",
  src\renderer\data\quests.json:24778:    "difficulty": "novice",
  src\renderer\data\quests.json:24779:    "description": {
  src\renderer\data\quests.json:24780:      "ru": "Узнаётся ли объект/поза в чёрном контуре? Среда: традиционные материалы.",
  src\renderer\data\quests.json:24781:      "en": "Can you recognize subject/pose in black silhouette? Medium: traditional materials."
  src\renderer\data\quests.json:24782:    },
  src\renderer\data\quests.json:24783:    "xp": 41,
> src\renderer\data\quests.json:24803:    "id": 776,
  src\renderer\data\quests.json:24804:    "code": "STY-00776",
  src\renderer\data\quests.json:24805:    "title": {
  src\renderer\data\quests.json:24806:      "ru": "Simple layout: {} (2-3 panels)",
  src\renderer\data\quests.json:24807:      "en": "Simple layout: {} (2-3 panels)"
  src\renderer\data\quests.json:24808:    },
  src\renderer\data\quests.json:24809:    "category": "storytelling",
  src\renderer\data\quests.json:24810:    "difficulty": "novice",
  src\renderer\data\quests.json:24811:    "description": {
  src\renderer\data\quests.json:24812:      "ru": "Базовая последовательность: установка, действие, реакция.",
  src\renderer\data\quests.json:24813:      "en": "Basic sequence: setup, action, reaction."
  src\renderer\data\quests.json:24814:    },
  src\renderer\data\quests.json:24815:    "xp": 41,
> src\renderer\data\quests.json:24835:    "id": 777,
  src\renderer\data\quests.json:24836:    "code": "STY-00777",
  src\renderer\data\quests.json:24837:    "title": {
  src\renderer\data\quests.json:24838:      "ru": "Value grouping: {} (light/mid/dark)",
  src\renderer\data\quests.json:24839:      "en": "Value grouping: {} (light/mid/dark)"
  src\renderer\data\quests.json:24840:    },
  src\renderer\data\quests.json:24841:    "category": "storytelling",
  src\renderer\data\quests.json:24842:    "difficulty": "novice",
  src\renderer\data\quests.json:24843:    "description": {
  src\renderer\data\quests.json:24844:      "ru": "Упрости сцену до 3-4 тональных масс для ясности.",
  src\renderer\data\quests.json:24845:      "en": "Simplify scene to 3-4 value masses for clarity."
  src\renderer\data\quests.json:24846:    },
  src\renderer\data\quests.json:24847:    "xp": 60,
> src\renderer\data\quests.json:24867:    "id": 778,
  src\renderer\data\quests.json:24868:    "code": "STY-00778",
  src\renderer\data\quests.json:24869:    "title": {
  src\renderer\data\quests.json:24870:      "ru": "Framing: {} (rule of thirds)",
  src\renderer\data\quests.json:24871:      "en": "Framing: {} (rule of thirds)"
  src\renderer\data\quests.json:24872:    },
  src\renderer\data\quests.json:24873:    "category": "storytelling",
  src\renderer\data\quests.json:24874:    "difficulty": "novice",
  src\renderer\data\quests.json:24875:    "description": {
  src\renderer\data\quests.json:24876:      "ru": "Размести объект в сильных точках пересечения линий. Можно карандаш или планшет.",
  src\renderer\data\quests.json:24877:      "en": "Place subject at strong line intersection points. с таймером."
  src\renderer\data\quests.json:24878:    },
  src\renderer\data\quests.json:24879:    "xp": 45,
> src\renderer\data\quests.json:24899:    "id": 779,
  src\renderer\data\quests.json:24900:    "code": "STY-00779",
  src\renderer\data\quests.json:24901:    "title": {
  src\renderer\data\quests.json:24902:      "ru": "Silhouette: {} (readability)",
  src\renderer\data\quests.json:24903:      "en": "Silhouette: {} (readability)"
  src\renderer\data\quests.json:24904:    },
  src\renderer\data\quests.json:24905:    "category": "storytelling",
  src\renderer\data\quests.json:24906:    "difficulty": "novice",
  src\renderer\data\quests.json:24907:    "description": {
  src\renderer\data\quests.json:24908:      "ru": "Узнаётся ли объект/поза в чёрном контуре?",
  src\renderer\data\quests.json:24909:      "en": "Can you recognize subject/pose in black silhouette?"
  src\renderer\data\quests.json:24910:    },
  src\renderer\data\quests.json:24911:    "xp": 48,
> src\renderer\data\quests.json:24931:    "id": 780,
  src\renderer\data\quests.json:24932:    "code": "STY-00780",
  src\renderer\data\quests.json:24933:    "title": {
  src\renderer\data\quests.json:24934:      "ru": "Silhouette: {} (readability)",
  src\renderer\data\quests.json:24935:      "en": "Silhouette: {} (readability)"
  src\renderer\data\quests.json:24936:    },
  src\renderer\data\quests.json:24937:    "category": "storytelling",
  src\renderer\data\quests.json:24938:    "difficulty": "novice",
  src\renderer\data\quests.json:24939:    "description": {
  src\renderer\data\quests.json:24940:      "ru": "Узнаётся ли объект/поза в чёрном контуре?",
  src\renderer\data\quests.json:24941:      "en": "Can you recognize subject/pose in black silhouette? одним инструментом."
  src\renderer\data\quests.json:24942:    },
  src\renderer\data\quests.json:24943:    "xp": 65,
> src\renderer\data\quests.json:24963:    "id": 781,
  src\renderer\data\quests.json:24964:    "code": "STY-00781",
  src\renderer\data\quests.json:24965:    "title": {
  src\renderer\data\quests.json:24966:      "ru": "Simple layout: {} (2-3 panels)",
  src\renderer\data\quests.json:24967:      "en": "Simple layout: {} (2-3 panels)"
  src\renderer\data\quests.json:24968:    },
  src\renderer\data\quests.json:24969:    "category": "storytelling",
  src\renderer\data\quests.json:24970:    "difficulty": "novice",
  src\renderer\data\quests.json:24971:    "description": {
  src\renderer\data\quests.json:24972:      "ru": "Базовая последовательность: установка, действие, реакция. Можно карандаш или планшет.",
  src\renderer\data\quests.json:24973:      "en": "Basic sequence: setup, action, reaction."
  src\renderer\data\quests.json:24974:    },
  src\renderer\data\quests.json:24975:    "xp": 54,
> src\renderer\data\quests.json:24995:    "id": 782,
  src\renderer\data\quests.json:24996:    "code": "STY-00782",
  src\renderer\data\quests.json:24997:    "title": {
  src\renderer\data\quests.json:24998:      "ru": "Leading lines: {} to focus",
  src\renderer\data\quests.json:24999:      "en": "Leading lines: {} to focus"
  src\renderer\data\quests.json:25000:    },
  src\renderer\data\quests.json:25001:    "category": "storytelling",
  src\renderer\data\quests.json:25002:    "difficulty": "novice",
  src\renderer\data\quests.json:25003:    "description": {
  src\renderer\data\quests.json:25004:      "ru": "Направь взгляд зрителя через архитектуру, свет или позы. без референса.",
  src\renderer\data\quests.json:25005:      "en": "Direct viewer's eye via architecture, light, or poses."
  src\renderer\data\quests.json:25006:    },
  src\renderer\data\quests.json:25007:    "xp": 42,
> src\renderer\data\quests.json:25027:    "id": 783,
  src\renderer\data\quests.json:25028:    "code": "STY-00783",
  src\renderer\data\quests.json:25029:    "title": {
  src\renderer\data\quests.json:25030:      "ru": "Leading lines: {} to focus",
  src\renderer\data\quests.json:25031:      "en": "Leading lines: {} to focus"
  src\renderer\data\quests.json:25032:    },
  src\renderer\data\quests.json:25033:    "category": "storytelling",
  src\renderer\data\quests.json:25034:    "difficulty": "novice",
  src\renderer\data\quests.json:25035:    "description": {
  src\renderer\data\quests.json:25036:      "ru": "Направь взгляд зрителя через архитектуру, свет или позы. без референса.",
  src\renderer\data\quests.json:25037:      "en": "Direct viewer's eye via architecture, light, or poses."
  src\renderer\data\quests.json:25038:    },
  src\renderer\data\quests.json:25039:    "xp": 45,
> src\renderer\data\quests.json:25059:    "id": 784,
  src\renderer\data\quests.json:25060:    "code": "STY-00784",
  src\renderer\data\quests.json:25061:    "title": {
  src\renderer\data\quests.json:25062:      "ru": "Leading lines: {} to focus",
  src\renderer\data\quests.json:25063:      "en": "Leading lines: {} to focus"
  src\renderer\data\quests.json:25064:    },
  src\renderer\data\quests.json:25065:    "category": "storytelling",
  src\renderer\data\quests.json:25066:    "difficulty": "novice",
  src\renderer\data\quests.json:25067:    "description": {
  src\renderer\data\quests.json:25068:      "ru": "Направь взгляд зрителя через архитектуру, свет или позы.",
  src\renderer\data\quests.json:25069:      "en": "Direct viewer's eye via architecture, light, or poses."
  src\renderer\data\quests.json:25070:    },
  src\renderer\data\quests.json:25071:    "xp": 59,
> src\renderer\data\quests.json:25091:    "id": 785,
  src\renderer\data\quests.json:25092:    "code": "STY-00785",
  src\renderer\data\quests.json:25093:    "title": {
  src\renderer\data\quests.json:25094:      "ru": "Simple layout: {} (2-3 panels)",
  src\renderer\data\quests.json:25095:      "en": "Simple layout: {} (2-3 panels)"
  src\renderer\data\quests.json:25096:    },
  src\renderer\data\quests.json:25097:    "category": "storytelling",
  src\renderer\data\quests.json:25098:    "difficulty": "novice",
  src\renderer\data\quests.json:25099:    "description": {
  src\renderer\data\quests.json:25100:      "ru": "Базовая последовательность: установка, действие, реакция. без ограничений.",
  src\renderer\data\quests.json:25101:      "en": "Basic sequence: setup, action, reaction. без ограничений."
  src\renderer\data\quests.json:25102:    },
  src\renderer\data\quests.json:25103:    "xp": 56,
> src\renderer\data\quests.json:25123:    "id": 786,
  src\renderer\data\quests.json:25124:    "code": "STY-00786",
  src\renderer\data\quests.json:25125:    "title": {
  src\renderer\data\quests.json:25126:      "ru": "Value grouping: {} (light/mid/dark)",
  src\renderer\data\quests.json:25127:      "en": "Value grouping: {} (light/mid/dark)"
  src\renderer\data\quests.json:25128:    },
  src\renderer\data\quests.json:25129:    "category": "storytelling",
  src\renderer\data\quests.json:25130:    "difficulty": "novice",
  src\renderer\data\quests.json:25131:    "description": {
  src\renderer\data\quests.json:25132:      "ru": "Упрости сцену до 3-4 тональных масс для ясности. без ограничений.",
  src\renderer\data\quests.json:25133:      "en": "Simplify scene to 3-4 value masses for clarity. Можно карандаш или планшет."
  src\renderer\data\quests.json:25134:    },
  src\renderer\data\quests.json:25135:    "xp": 47,
> src\renderer\data\quests.json:25155:    "id": 787,
  src\renderer\data\quests.json:25156:    "code": "STY-00787",
  src\renderer\data\quests.json:25157:    "title": {
  src\renderer\data\quests.json:25158:      "ru": "Leading lines: {} to focus",
  src\renderer\data\quests.json:25159:      "en": "Leading lines: {} to focus"
  src\renderer\data\quests.json:25160:    },
  src\renderer\data\quests.json:25161:    "category": "storytelling",
  src\renderer\data\quests.json:25162:    "difficulty": "novice",
  src\renderer\data\quests.json:25163:    "description": {
  src\renderer\data\quests.json:25164:      "ru": "Направь взгляд зрителя через архитектуру, свет или позы. Можно карандаш или планшет.",
  src\renderer\data\quests.json:25165:      "en": "Direct viewer's eye via architecture, light, or poses. без референса."
  src\renderer\data\quests.json:25166:    },
  src\renderer\data\quests.json:25167:    "xp": 56,
> src\renderer\data\quests.json:25187:    "id": 788,
  src\renderer\data\quests.json:25188:    "code": "STY-00788",
  src\renderer\data\quests.json:25189:    "title": {
  src\renderer\data\quests.json:25190:      "ru": "Silhouette: {} (readability)",
  src\renderer\data\quests.json:25191:      "en": "Silhouette: {} (readability)"
  src\renderer\data\quests.json:25192:    },
  src\renderer\data\quests.json:25193:    "category": "storytelling",
  src\renderer\data\quests.json:25194:    "difficulty": "novice",
  src\renderer\data\quests.json:25195:    "description": {
  src\renderer\data\quests.json:25196:      "ru": "Узнаётся ли объект/поза в чёрном контуре? без растушёвки.",
  src\renderer\data\quests.json:25197:      "en": "Can you recognize subject/pose in black silhouette? без растушёвки."
  src\renderer\data\quests.json:25198:    },
  src\renderer\data\quests.json:25199:    "xp": 50,
> src\renderer\data\quests.json:25219:    "id": 789,
  src\renderer\data\quests.json:25220:    "code": "STY-00789",
  src\renderer\data\quests.json:25221:    "title": {
  src\renderer\data\quests.json:25222:      "ru": "Shot type: {} (wide/medium/close)",
  src\renderer\data\quests.json:25223:      "en": "Shot type: {} (wide/medium/close)"
  src\renderer\data\quests.json:25224:    },
  src\renderer\data\quests.json:25225:    "category": "storytelling",
  src\renderer\data\quests.json:25226:    "difficulty": "novice",
  src\renderer\data\quests.json:25227:    "description": {
  src\renderer\data\quests.json:25228:      "ru": "Выбери дистанцию камеры для передачи масштаба или эмоции. 5 цветов.",
  src\renderer\data\quests.json:25229:      "en": "Choose camera distance to convey scale or emotion."
  src\renderer\data\quests.json:25230:    },
  src\renderer\data\quests.json:25231:    "xp": 52,
> src\renderer\data\quests.json:25251:    "id": 790,
  src\renderer\data\quests.json:25252:    "code": "STY-00790",
  src\renderer\data\quests.json:25253:    "title": {
  src\renderer\data\quests.json:25254:      "ru": "Framing: {} (rule of thirds)",
  src\renderer\data\quests.json:25255:      "en": "Framing: {} (rule of thirds)"
  src\renderer\data\quests.json:25256:    },
  src\renderer\data\quests.json:25257:    "category": "storytelling",
  src\renderer\data\quests.json:25258:    "difficulty": "novice",
  src\renderer\data\quests.json:25259:    "description": {
  src\renderer\data\quests.json:25260:      "ru": "Размести объект в сильных точках пересечения линий. Выбери удобную технику.",
  src\renderer\data\quests.json:25261:      "en": "Place subject at strong line intersection points."
  src\renderer\data\quests.json:25262:    },
  src\renderer\data\quests.json:25263:    "xp": 63,
> src\renderer\data\quests.json:25283:    "id": 791,
  src\renderer\data\quests.json:25284:    "code": "STY-00791",
  src\renderer\data\quests.json:25285:    "title": {
  src\renderer\data\quests.json:25286:      "ru": "Silhouette: {} (readability)",
  src\renderer\data\quests.json:25287:      "en": "Silhouette: {} (readability)"
  src\renderer\data\quests.json:25288:    },
  src\renderer\data\quests.json:25289:    "category": "storytelling",
  src\renderer\data\quests.json:25290:    "difficulty": "novice",
  src\renderer\data\quests.json:25291:    "description": {
  src\renderer\data\quests.json:25292:      "ru": "Узнаётся ли объект/поза в чёрном контуре?",
  src\renderer\data\quests.json:25293:      "en": "Can you recognize subject/pose in black silhouette? 3 тона."
  src\renderer\data\quests.json:25294:    },
  src\renderer\data\quests.json:25295:    "xp": 65,
> src\renderer\data\quests.json:25315:    "id": 792,
  src\renderer\data\quests.json:25316:    "code": "STY-00792",
  src\renderer\data\quests.json:25317:    "title": {
  src\renderer\data\quests.json:25318:      "ru": "Leading lines: {} to focus",
  src\renderer\data\quests.json:25319:      "en": "Leading lines: {} to focus"
  src\renderer\data\quests.json:25320:    },
  src\renderer\data\quests.json:25321:    "category": "storytelling",
  src\renderer\data\quests.json:25322:    "difficulty": "novice",
  src\renderer\data\quests.json:25323:    "description": {
  src\renderer\data\quests.json:25324:      "ru": "Направь взгляд зрителя через архитектуру, свет или позы.",
  src\renderer\data\quests.json:25325:      "en": "Direct viewer's eye via architecture, light, or poses."
  src\renderer\data\quests.json:25326:    },
  src\renderer\data\quests.json:25327:    "xp": 42,
> src\renderer\data\quests.json:25347:    "id": 793,
  src\renderer\data\quests.json:25348:    "code": "STY-00793",
  src\renderer\data\quests.json:25349:    "title": {
  src\renderer\data\quests.json:25350:      "ru": "Framing: {} (rule of thirds)",
  src\renderer\data\quests.json:25351:      "en": "Framing: {} (rule of thirds)"
  src\renderer\data\quests.json:25352:    },
  src\renderer\data\quests.json:25353:    "category": "storytelling",
  src\renderer\data\quests.json:25354:    "difficulty": "novice",
  src\renderer\data\quests.json:25355:    "description": {
  src\renderer\data\quests.json:25356:      "ru": "Размести объект в сильных точках пересечения линий. без референса.",
  src\renderer\data\quests.json:25357:      "en": "Place subject at strong line intersection points. Используй любые материалы."
  src\renderer\data\quests.json:25358:    },
  src\renderer\data\quests.json:25359:    "xp": 57,
> src\renderer\data\quests.json:25379:    "id": 794,
  src\renderer\data\quests.json:25380:    "code": "STY-00794",
  src\renderer\data\quests.json:25381:    "title": {
  src\renderer\data\quests.json:25382:      "ru": "Value grouping: {} (light/mid/dark)",
  src\renderer\data\quests.json:25383:      "en": "Value grouping: {} (light/mid/dark)"
  src\renderer\data\quests.json:25384:    },
  src\renderer\data\quests.json:25385:    "category": "storytelling",
  src\renderer\data\quests.json:25386:    "difficulty": "novice",
  src\renderer\data\quests.json:25387:    "description": {
  src\renderer\data\quests.json:25388:      "ru": "Упрости сцену до 3-4 тональных масс для ясности. Выбери удобную технику.",
  src\renderer\data\quests.json:25389:      "en": "Simplify scene to 3-4 value masses for clarity."
  src\renderer\data\quests.json:25390:    },
